Lat,Lon
44.48,-92.63
44.48,-92.62326241217798
44.48,-92.61652482435596
44.48,-92.60978723653395
44.48,-92.60304964871193
44.48,-92.59631206088991
44.48,-92.5895744730679
44.48,-92.58283688524588
44.48,-92.57609929742387
44.48,-92.56936170960185
44.48,-92.56262412177983
44.48,-92.55588653395782
44.48,-92.5491489461358
44.48,-92.54241135831379
44.48,-92.53567377049177
44.48,-92.52893618266975
44.48,-92.52219859484774
44.48,-92.51546100702572
44.48,-92.5087234192037
44.48,-92.50198583138169
44.48,-92.49524824355967
44.48,-92.48851065573766
44.48,-92.48177306791564
44.48,-92.47503548009362
44.48,-92.46829789227161
44.48,-92.46156030444959
44.48,-92.45482271662758
44.48,-92.44808512880556
44.484794916666665,-92.63
44.484794916666665,-92.62326241217798
44.484794916666665,-92.61652482435596
44.484794916666665,-92.60978723653395
44.484794916666665,-92.60304964871193
44.484794916666665,-92.59631206088991
44.484794916666665,-92.5895744730679
44.484794916666665,-92.58283688524588
44.484794916666665,-92.57609929742387
44.484794916666665,-92.56936170960185
44.484794916666665,-92.56262412177983
44.484794916666665,-92.55588653395782
44.484794916666665,-92.5491489461358
44.484794916666665,-92.54241135831379
44.484794916666665,-92.53567377049177
44.484794916666665,-92.52893618266975
44.484794916666665,-92.52219859484774
44.484794916666665,-92.51546100702572
44.484794916666665,-92.5087234192037
44.484794916666665,-92.50198583138169
44.484794916666665,-92.49524824355967
44.484794916666665,-92.48851065573766
44.484794916666665,-92.48177306791564
44.484794916666665,-92.47503548009362
44.484794916666665,-92.46829789227161
44.484794916666665,-92.46156030444959
44.484794916666665,-92.45482271662758
44.484794916666665,-92.44808512880556
44.48958983333333,-92.63
44.48958983333333,-92.62326241217798
44.48958983333333,-92.61652482435596
44.48958983333333,-92.60978723653395
44.48958983333333,-92.60304964871193
44.48958983333333,-92.59631206088991
44.48958983333333,-92.5895744730679
44.48958983333333,-92.58283688524588
44.48958983333333,-92.57609929742387
44.48958983333333,-92.56936170960185
44.48958983333333,-92.56262412177983
44.48958983333333,-92.55588653395782
44.48958983333333,-92.5491489461358
44.48958983333333,-92.54241135831379
44.48958983333333,-92.53567377049177
44.48958983333333,-92.52893618266975
44.48958983333333,-92.52219859484774
44.48958983333333,-92.51546100702572
44.48958983333333,-92.5087234192037
44.48958983333333,-92.50198583138169
44.48958983333333,-92.49524824355967
44.48958983333333,-92.48851065573766
44.48958983333333,-92.48177306791564
44.48958983333333,-92.47503548009362
44.48958983333333,-92.46829789227161
44.48958983333333,-92.46156030444959
44.48958983333333,-92.45482271662758
44.48958983333333,-92.44808512880556
44.49438475,-92.63
44.49438475,-92.62326241217798
44.49438475,-92.61652482435596
44.49438475,-92.60978723653395
44.49438475,-92.60304964871193
44.49438475,-92.59631206088991
44.49438475,-92.5895744730679
44.49438475,-92.58283688524588
44.49438475,-92.57609929742387
44.49438475,-92.56936170960185
44.49438475,-92.56262412177983
44.49438475,-92.55588653395782
44.49438475,-92.5491489461358
44.49438475,-92.54241135831379
44.49438475,-92.53567377049177
44.49438475,-92.52893618266975
44.49438475,-92.52219859484774
44.49438475,-92.51546100702572
44.49438475,-92.5087234192037
44.49438475,-92.50198583138169
44.49438475,-92.49524824355967
44.49438475,-92.48851065573766
44.49438475,-92.48177306791564
44.49438475,-92.47503548009362
44.49438475,-92.46829789227161
44.49438475,-92.46156030444959
44.49438475,-92.45482271662758
44.49438475,-92.44808512880556
44.49917966666667,-92.63
44.49917966666667,-92.62326241217798
44.49917966666667,-92.61652482435596
44.49917966666667,-92.60978723653395
44.49917966666667,-92.60304964871193
44.49917966666667,-92.59631206088991
44.49917966666667,-92.5895744730679
44.49917966666667,-92.58283688524588
44.49917966666667,-92.57609929742387
44.49917966666667,-92.56936170960185
44.49917966666667,-92.56262412177983
44.49917966666667,-92.55588653395782
44.49917966666667,-92.5491489461358
44.49917966666667,-92.54241135831379
44.49917966666667,-92.53567377049177
44.49917966666667,-92.52893618266975
44.49917966666667,-92.52219859484774
44.49917966666667,-92.51546100702572
44.49917966666667,-92.5087234192037
44.49917966666667,-92.50198583138169
44.49917966666667,-92.49524824355967
44.49917966666667,-92.48851065573766
44.49917966666667,-92.48177306791564
44.49917966666667,-92.47503548009362
44.49917966666667,-92.46829789227161
44.49917966666667,-92.46156030444959
44.49917966666667,-92.45482271662758
44.49917966666667,-92.44808512880556
44.50397458333334,-92.63
44.50397458333334,-92.62326241217798
44.50397458333334,-92.61652482435596
